timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709045755794,437,Create User,201,Created,Workload Config 1-92,text,true,,892,228,12,12,https://reqres.in/api/users,437,0,0
1709045755813,451,Create User,201,Created,Workload Config 1-84,text,true,,893,228,11,11,https://reqres.in/api/users,451,0,0
1709045755813,454,Create User,201,Created,Workload Config 1-90,text,true,,893,228,10,10,https://reqres.in/api/users,454,0,0
1709045755815,456,Create User,201,Created,Workload Config 1-89,text,true,,901,228,10,10,https://reqres.in/api/users,456,0,0
1709045755831,443,Create User,201,Created,Workload Config 1-98,text,true,,901,228,9,9,https://reqres.in/api/users,443,0,0
1709045755826,461,Create User,201,Created,Workload Config 1-95,text,true,,901,228,7,7,https://reqres.in/api/users,461,0,0
1709045755814,473,Create User,201,Created,Workload Config 1-97,text,true,,901,228,7,7,https://reqres.in/api/users,473,0,0
1709045755820,468,Create User,201,Created,Workload Config 1-96,text,true,,901,228,7,7,https://reqres.in/api/users,468,0,0
1709045755820,476,Create User,201,Created,Workload Config 1-93,text,true,,901,228,4,4,https://reqres.in/api/users,476,0,0
1709045755831,465,Create User,201,Created,Workload Config 1-94,text,true,,901,228,4,4,https://reqres.in/api/users,465,0,0
1709045755904,438,Create User,201,Created,Workload Config 1-100,text,true,,901,228,2,2,https://reqres.in/api/users,438,0,0
1709045755899,460,Create User,201,Created,Workload Config 1-99,text,true,,901,228,1,1,https://reqres.in/api/users,460,0,0
